x,y,z,SaliencyScore,NormalizedScore,Labels,EEGScore,NormalizedEEG,NormalizedCombinedScore
0.1252,0.005,-0.3812,0.0,0.0,[],0.0,0.0,0.0
-0.1207,-0.005,0.4198,0.0,0.0,[],0.0,0.0,0.0
-0.1154,-0.205,0.4853,0.0,0.0,[],0.0,0.0,0.0
0.2441,-0.005,0.6959,0.0,0.0,[],0.0,0.0,0.0
-0.1798,0.005,0.0311,0.0,0.0,[],0.0,0.0,0.0
-0.4567,0.005,0.4577,0.0,0.0,[],0.0,0.0,0.0
0.0201,-0.005,-0.3775,0.0,0.0,[],0.0,0.0,0.0
0.497,-0.005,0.3658,0.0,0.0,[],0.0,0.0,0.0
-0.419,0.1078,0.1003,0.0,0.0,[],0.0,0.0,0.0
-0.1417,0.005,0.2928,0.0,0.0,[],0.0,0.0,0.0
-0.109,0.1505,0.6811,0.0,0.0,[],0.0,0.0,0.0
-0.5902,-0.1219,0.3482,0.0,0.0,[],0.0,0.0,0.0
-0.185,0.005,0.2179,0.0,0.0,[],0.0,0.0,0.0
0.2463,-0.0421,0.4654,0.0,0.0,[],0.0,0.0,0.0
-0.127,-0.005,0.0924,0.0,0.0,[],0.0,0.0,0.0
0.092,-0.1557,-0.1362,0.0,0.0,[],0.0,0.0,0.0
-0.446,0.1533,0.1396,0.0,0.0,[],0.0,0.0,0.0
0.0489,0.005,0.5015,0.0,0.0,[],0.0,0.0,0.0
0.3621,0.2049,0.4237,0.2668855534709193,0.009449001959546979,['Rejection'],-1.0,-0.009615384615384616,-9.085578807256711e-05
0.3583,-0.0068,0.3907,0.0,0.0,[],0.0,0.0,0.0
-0.1581,0.015,0.3411,0.0,0.0,[],0.0,0.0,0.0
0.1689,0.015,0.1675,0.0,0.0,[],0.0,0.0,0.0
-0.0226,-0.0398,0.066,0.5422138836772983,0.019196917865090174,"['Rejection', 'Rejection']",-2.0,-0.019230769230769232,-0.00036917149740558027
0.0371,-0.0984,-0.0566,0.0,0.0,[],0.0,0.0,0.0
-0.2609,0.005,0.6886,0.0,0.0,[],0.0,0.0,0.0
-0.3701,0.195,0.4445,0.0,0.0,[],0.0,0.0,0.0
-0.1386,0.205,0.5316,0.0,0.0,[],0.0,0.0,0.0
-0.3894,-0.005,0.3992,0.0,0.0,[],0.0,0.0,0.0
-0.0989,0.195,0.6534,0.0,0.0,[],0.0,0.0,0.0
0.3953,-0.005,0.3617,0.0,0.0,[],0.0,0.0,0.0
0.0902,-0.005,0.6621,0.0,0.0,[],0.0,0.0,0.0
-0.5624,0.0913,0.3682,0.0,0.0,[],0.0,0.0,0.0
-0.5298,0.005,0.5338,0.0,0.0,[],0.0,0.0,0.0
-0.2118,-0.005,-0.1649,0.0,0.0,[],0.0,0.0,0.0
0.448,-0.205,0.3675,0.0,0.0,[],0.0,0.0,0.0
-0.1817,-0.005,0.4057,0.0,0.0,[],0.0,0.0,0.0
-0.0713,-0.005,0.4548,0.0,0.0,[],0.0,0.0,0.0
-0.1016,0.015,0.598,0.0,0.0,[],0.0,0.0,0.0
-0.106,0.195,0.2605,0.0,0.0,[],0.0,0.0,0.0
-0.5902,-0.1125,0.5892,0.0,0.0,[],0.0,0.0,0.0
0.2819,0.195,0.108,0.0,0.0,[],0.0,0.0,0.0
-0.0376,-0.005,0.1196,0.6283614759224515,0.022246947202940428,"['Rejection', 'Rejection']",-2.0,-0.019230769230769232,-0.0004278259077488544
0.1421,-0.205,-0.501,0.0,0.0,[],0.0,0.0,0.0
0.2772,-0.205,0.3883,0.0,0.0,[],0.0,0.0,0.0
-0.0526,-0.205,0.1704,0.0,0.0,[],0.0,0.0,0.0
0.1014,0.195,0.2854,0.5253283302063789,0.018599089973097744,"['Rejection', 'Rejection']",-2.0,-0.019230769230769232,-0.00035767480717495664
0.1226,0.195,0.2375,0.0,0.0,[],0.0,0.0,0.0
0.3039,-0.005,0.1807,0.0,0.0,[],0.0,0.0,0.0
0.3018,-0.1004,0.3517,0.0,0.0,[],0.0,0.0,0.0
0.2214,-0.205,0.3012,0.0,0.0,[],0.0,0.0,0.0
-0.2515,0.005,0.2847,0.0,0.0,[],0.0,0.0,0.0
-0.0416,0.015,0.4935,0.0,0.0,[],0.0,0.0,0.0
-0.2986,0.005,-0.017,0.0,0.0,[],0.0,0.0,0.0
-0.1891,-0.005,0.5566,0.0,0.0,[],0.0,0.0,0.0
0.2681,0.005,0.6077,0.0,0.0,[],0.0,0.0,0.0
0.5055,0.015,0.3753,0.0,0.0,[],0.0,0.0,0.0
-0.2748,0.005,0.2232,0.0,0.0,[],0.0,0.0,0.0
-0.1509,0.005,0.4173,0.0,0.0,[],0.0,0.0,0.0
-0.5977,0.1998,0.3159,0.0,0.0,[],0.0,0.0,0.0
-0.0792,0.205,0.1288,0.0,0.0,[],0.0,0.0,0.0
