Epoch,Form_Type,Form_Number,Class,True_Count,Predicted_Count,F1_Score,Accuracy
2,rect,6,Class 2,13156,3152,0.355,22.0%
2,rect,6,Class 3,41,1839,0.004,9.8%
2,rect,6,Class 4,6,2176,0.000,0.0%
2,curved,15,Class 0,2038,3162,0.166,21.1%
2,curved,15,Class 1,57,4699,0.012,49.1%
2,curved,15,Class 2,12889,2993,0.328,20.2%
2,curved,15,Class 3,13,1880,0.002,15.4%
2,curved,15,Class 4,3,2266,0.001,33.3%
2,curved,9,Class 0,3689,3871,0.312,32.0%
2,curved,9,Class 1,180,4468,0.028,35.6%
2,curved,9,Class 2,11109,2933,0.334,21.1%
2,curved,9,Class 3,13,1677,0.002,15.4%
2,curved,9,Class 4,9,2051,0.000,0.0%
2,curved,4,Class 0,2042,3669,0.154,21.6%
2,curved,4,Class 1,106,4428,0.020,43.4%
2,curved,4,Class 2,12834,2932,0.325,20.0%
2,curved,4,Class 3,17,1799,0.002,11.8%
2,curved,4,Class 4,1,2172,0.000,0.0%
2,rect,9,Class 0,2635,3273,0.248,27.8%
2,rect,9,Class 1,191,4719,0.044,56.0%
2,rect,9,Class 2,12135,2933,0.346,21.5%
2,rect,9,Class 3,29,1802,0.003,10.3%
2,rect,9,Class 4,10,2273,0.001,10.0%
2,rect,10,Class 0,1674,3390,0.169,25.6%
2,rect,10,Class 1,178,4660,0.040,53.9%
2,rect,10,Class 2,13103,2934,0.329,20.2%
2,rect,10,Class 3,35,1730,0.005,11.4%
2,rect,10,Class 4,10,2286,0.000,0.0%
2,curved,5,Class 0,3128,3567,0.274,29.3%
2,curved,5,Class 1,62,4388,0.017,61.3%
2,curved,5,Class 2,11801,2966,0.347,21.7%
2,curved,5,Class 3,6,1841,0.001,16.7%
2,curved,5,Class 4,3,2238,0.000,0.0%
2,rect,2,Class 0,2497,3459,0.209,24.9%
2,rect,2,Class 1,71,4429,0.019,59.2%
2,rect,2,Class 2,12415,2997,0.340,21.1%
2,rect,2,Class 3,12,1882,0.001,8.3%
2,rect,2,Class 4,5,2233,0.000,0.0%
2,curved,12,Class 0,2269,4021,0.256,35.4%
2,curved,12,Class 1,107,4343,0.023,47.7%
2,curved,12,Class 2,12606,2854,0.338,20.8%
2,curved,12,Class 3,15,1710,0.000,0.0%
2,curved,12,Class 4,3,2072,0.000,0.0%
2,curved,11,Class 0,3036,3525,0.220,23.8%
2,curved,11,Class 1,320,4405,0.058,42.5%
2,curved,11,Class 2,11546,2988,0.328,20.6%
2,curved,11,Class 3,69,1791,0.006,8.7%
2,curved,11,Class 4,29,2291,0.001,3.4%
2,curved,6,Class 0,2537,3202,0.216,24.5%
2,curved,6,Class 1,152,4863,0.026,42.8%
2,curved,6,Class 2,12265,2932,0.325,20.1%
2,curved,6,Class 3,30,1820,0.001,3.3%
2,curved,6,Class 4,16,2183,0.004,25.0%
2,rect,3,Class 0,3450,3435,0.284,28.3%
2,rect,3,Class 1,180,4762,0.028,38.3%
2,rect,3,Class 2,11321,2997,0.349,22.1%
2,rect,3,Class 3,40,1691,0.001,2.5%
2,rect,3,Class 4,9,2115,0.001,11.1%
2,rect,15,Class 0,1555,3593,0.178,29.4%
2,rect,15,Class 1,101,4772,0.018,42.6%
2,rect,15,Class 2,13327,2840,0.328,19.9%
2,rect,15,Class 3,15,1695,0.002,13.3%
2,rect,15,Class 4,2,2100,0.001,50.0%
2,rect,5,Class 0,2156,3826,0.221,30.7%
2,rect,5,Class 1,130,4282,0.033,56.2%
2,rect,5,Class 2,12686,3043,0.346,21.5%
2,rect,5,Class 3,26,1732,0.003,11.5%
2,rect,5,Class 4,2,2117,0.000,0.0%
2,curved,1,Class 0,3476,3956,0.282,30.1%
2,curved,1,Class 1,91,4341,0.025,60.4%
2,curved,1,Class 2,11413,2975,0.346,21.8%
2,curved,1,Class 3,15,1747,0.001,6.7%
2,curved,1,Class 4,5,1981,0.000,0.0%
2,rect,14,Class 0,2270,3228,0.168,20.4%
2,rect,14,Class 1,180,4020,0.035,40.6%
2,rect,14,Class 2,10511,2490,0.295,18.2%
2,rect,14,Class 3,30,1443,0.008,20.0%
2,rect,14,Class 4,9,1819,0.003,33.3%
2,curved,10,Class 0,3253,3958,0.262,29.1%
2,curved,10,Class 1,93,4376,0.019,46.2%
2,curved,10,Class 2,11644,2861,0.327,20.4%
2,curved,10,Class 3,8,1645,0.000,0.0%
2,curved,10,Class 4,2,2160,0.000,0.0%
2,curved,13,Class 0,1500,3373,0.220,35.8%
2,curved,13,Class 1,53,3385,0.015,49.1%
2,curved,13,Class 2,10429,2363,0.338,20.7%
2,curved,13,Class 3,15,1304,0.000,0.0%
2,curved,13,Class 4,3,1575,0.000,0.0%
2,curved,8,Class 0,1584,3955,0.142,24.7%
2,curved,8,Class 1,126,4339,0.019,33.3%
2,curved,8,Class 2,13245,2984,0.326,20.0%
2,curved,8,Class 3,33,1589,0.005,12.1%
2,curved,8,Class 4,12,2133,0.003,25.0%
2,rect,11,Class 0,2457,3834,0.209,26.7%
2,rect,11,Class 1,265,4695,0.052,48.3%
2,rect,11,Class 2,12240,2828,0.322,19.8%
2,rect,11,Class 3,26,1476,0.004,11.5%
2,rect,11,Class 4,12,2167,0.000,0.0%
2,rect,4,Class 0,1751,3640,0.207,31.8%
2,rect,4,Class 1,276,4617,0.055,48.9%
2,rect,4,Class 2,12941,2990,0.348,21.4%
2,rect,4,Class 3,28,1560,0.004,10.7%
2,rect,4,Class 4,4,2193,0.000,0.0%
2,rect,8,Class 0,2189,3748,0.217,29.5%
2,rect,8,Class 1,134,4367,0.033,55.2%
2,rect,8,Class 2,12649,3067,0.346,21.5%
2,rect,8,Class 3,24,1647,0.001,4.2%
2,rect,8,Class 4,4,2171,0.000,0.0%
2,rect,12,Class 0,2082,3892,0.169,24.3%
2,rect,12,Class 1,149,4740,0.031,51.0%
2,rect,12,Class 2,12732,2693,0.302,18.3%
2,rect,12,Class 3,22,1521,0.001,4.5%
2,rect,12,Class 4,15,2154,0.000,0.0%
2,rect,7,Class 0,1877,3608,0.217,31.8%
2,rect,7,Class 1,146,4377,0.038,59.6%
2,rect,7,Class 2,12950,3117,0.364,22.6%
2,rect,7,Class 3,19,1645,0.002,10.5%
2,rect,7,Class 4,8,2253,0.000,0.0%
2,curved,2,Class 0,1264,3287,0.135,24.3%
2,curved,2,Class 1,67,4691,0.010,35.8%
2,curved,2,Class 2,13658,3011,0.334,20.4%
2,curved,2,Class 3,7,1572,0.000,0.0%
2,curved,2,Class 4,4,2439,0.000,0.0%
2,rect,1,Class 0,2175,3404,0.224,28.7%
2,rect,1,Class 1,52,4866,0.011,51.9%
2,rect,1,Class 2,12752,2972,0.345,21.3%
2,rect,1,Class 3,13,1619,0.001,7.7%
2,rect,1,Class 4,8,2139,0.000,0.0%
2,curved,7,Class 0,3192,3229,0.240,24.2%
2,curved,7,Class 1,133,5044,0.034,65.4%
2,curved,7,Class 2,11660,3031,0.346,21.8%
2,curved,7,Class 3,12,1474,0.000,0.0%
2,curved,7,Class 4,3,2222,0.000,0.0%
2,curved,3,Class 0,1624,3268,0.162,24.4%
2,curved,3,Class 1,80,4867,0.020,61.3%
2,curved,3,Class 2,13285,3189,0.355,22.0%
2,curved,3,Class 3,10,1607,0.000,0.0%
2,curved,3,Class 4,1,2069,0.000,0.0%
