x,y,z,EEGScore,NormalizedEEGScore
-0.3322,-0.005,-0.4744,0.0,0.0
-0.2779,-0.0485,0.4826,0.0,0.0
0.1701,0.134,0.2944,5.0,-0.7872340425531915
-0.1425,0.1114,0.2944,1.0,-0.9574468085106383
-0.1358,-0.0952,-0.479,0.0,0.0
-0.3762,0.205,-0.4667,0.0,0.0
-0.6587,-0.0392,-0.1756,0.0,0.0
-0.0464,-0.015,-0.0101,0.0,0.0
-0.0706,-0.005,-0.213,0.0,0.0
-0.0972,0.005,-0.3505,0.0,0.0
0.1041,0.205,-0.4249,1.0,-0.9574468085106383
-0.6016,-0.005,-0.4649,0.0,0.0
-0.275,-0.005,-0.1274,0.0,0.0
0.0468,0.0861,0.1281,0.0,0.0
-0.2776,-0.005,-0.1058,2.0,-0.9148936170212766
